last time, this time, pub duration
1.71121e+09,1.71121e+09,0.0997513
1.71121e+09,1.71121e+09,0.121804
1.71121e+09,1.71121e+09,0.0950236
1.71121e+09,1.71121e+09,0.0869521
1.71121e+09,1.71121e+09,0.097508
1.71121e+09,1.71121e+09,0.0980142
1.71121e+09,1.71121e+09,0.123921
1.71121e+09,1.71121e+09,0.13366
1.71121e+09,1.71121e+09,0.146101
1.71121e+09,1.71121e+09,0.150014
1.71121e+09,1.71121e+09,0.167856
1.71121e+09,1.71121e+09,0.135077
1.71121e+09,1.71121e+09,0.133839
1.71121e+09,1.71121e+09,0.144918
1.71121e+09,1.71121e+09,0.139134
1.71121e+09,1.71121e+09,0.170145
1.71121e+09,1.71121e+09,0.181059
